,State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
0,KS,128.0,415,No,Yes,25,265.1,110,45.07,197.4,99.0,16.78,244.7,91,11.01,10.0,3,2.7,,False
1,OH,107.0,415,No,Yes,26,161.6,123,27.47,195.5,103.0,16.62,254.4,103,11.45,13.7,3,3.7,1.0,False
2,NJ,137.0,415,No,No,0,243.4,114,41.38,121.2,110.0,10.3,162.6,104,7.32,12.2,5,3.29,0.0,False
3,OH,84.0,408,Yes,No,0,299.4,71,50.9,61.9,88.0,5.26,196.9,89,8.86,6.6,7,1.78,,False
4,OK,75.0,415,Yes,No,0,166.7,113,28.34,148.3,122.0,12.61,186.9,121,8.41,10.1,3,2.73,3.0,False
5,AL,118.0,510,Yes,No,0,223.4,98,37.98,220.6,101.0,18.75,203.9,118,9.18,6.3,6,1.7,0.0,False
6,MA,121.0,510,No,Yes,24,218.2,88,37.09,348.5,108.0,29.62,212.6,118,9.57,7.5,7,2.03,3.0,False
7,MO,147.0,415,Yes,No,0,157.0,79,26.69,103.1,94.0,8.76,211.8,96,9.53,7.1,6,1.92,0.0,False
8,WV,141.0,415,Yes,Yes,37,258.6,84,43.96,222.0,111.0,18.87,326.4,97,14.69,11.2,5,3.02,0.0,False
9,RI,74.0,415,No,No,0,187.7,127,31.91,163.4,,13.89,196.0,94,8.82,9.1,5,2.46,0.0,False
10,IA,168.0,408,No,No,0,128.8,96,,104.9,71.0,8.92,141.1,128,6.35,11.2,2,3.02,1.0,False
11,MT,95.0,510,No,No,0,156.6,88,26.62,247.6,75.0,21.05,192.3,115,8.65,12.3,5,3.32,3.0,False
12,IA,62.0,415,No,No,0,120.7,70,20.52,307.2,76.0,26.11,203.0,99,,13.1,6,3.54,4.0,False
13,ID,85.0,408,No,Yes,27,196.4,139,33.39,280.9,90.0,23.88,89.3,75,4.02,13.8,4,3.73,,False
14,VT,93.0,510,No,No,0,190.7,114,32.42,218.2,111.0,18.55,129.6,121,5.83,8.1,3,2.19,3.0,False
15,VA,,510,No,Yes,33,189.7,66,32.25,212.8,,18.09,165.7,108,7.46,10.0,5,2.7,1.0,False
16,TX,73.0,415,No,No,0,224.4,90,38.15,159.5,88.0,13.56,192.8,74,8.68,13.0,2,3.51,,False
17,FL,147.0,415,No,No,0,155.1,117,26.37,239.7,93.0,20.37,208.8,133,9.4,10.6,4,2.86,0.0,False
18,CO,77.0,408,No,No,0,62.4,89,,169.9,121.0,14.44,209.6,64,9.43,5.7,6,1.54,5.0,True
19,AZ,130.0,415,No,No,0,183.0,112,31.11,72.9,99.0,6.2,181.8,78,8.18,9.5,19,2.57,0.0,False
20,VA,132.0,510,No,No,0,81.1,86,,245.2,72.0,20.84,237.0,115,10.67,10.3,2,2.78,0.0,False
21,NE,,415,No,No,0,124.3,76,21.13,277.1,112.0,23.55,250.7,115,11.28,15.5,5,4.19,3.0,False
22,WY,57.0,408,No,Yes,39,213.0,115,36.21,191.1,112.0,16.24,182.7,115,8.22,9.5,3,2.57,0.0,False
23,MT,54.0,408,No,No,0,134.3,73,22.83,155.5,,13.22,102.1,68,,14.7,4,3.97,3.0,False
24,MO,20.0,415,No,No,0,190.0,109,32.3,258.2,84.0,21.95,181.5,102,8.17,6.3,6,1.7,0.0,False
25,IL,142.0,415,No,No,0,84.8,95,,136.7,63.0,11.62,250.5,148,11.27,14.2,6,3.83,2.0,False
26,NH,75.0,510,No,No,0,226.1,105,38.44,201.5,107.0,17.13,246.2,98,11.08,10.3,5,2.78,1.0,False
27,LA,172.0,408,No,No,0,212.0,121,,31.2,115.0,2.65,293.3,78,13.2,12.6,10,3.4,3.0,False
28,AZ,12.0,408,No,No,0,249.6,118,42.43,252.4,119.0,21.45,280.2,90,12.61,11.8,3,3.19,1.0,True
29,OK,,408,No,Yes,25,176.8,94,30.06,195.0,75.0,16.58,213.5,116,9.61,8.3,4,2.24,0.0,False
30,GA,72.0,415,No,Yes,37,220.0,80,37.4,217.3,102.0,18.47,152.8,71,6.88,14.7,6,3.97,3.0,False
31,MA,78.0,415,No,No,0,130.8,64,22.24,223.7,116.0,19.01,227.8,108,10.25,10.0,5,2.7,1.0,False
32,AK,136.0,415,Yes,Yes,33,203.9,106,34.66,187.6,99.0,15.95,101.7,107,4.58,10.5,6,2.84,3.0,False
33,NJ,149.0,408,No,No,0,140.4,94,23.87,271.8,,23.1,188.3,108,,11.1,9,3.0,1.0,False
34,GA,98.0,408,No,No,0,126.3,102,21.47,166.8,85.0,14.18,187.8,135,8.45,9.4,2,2.54,3.0,False
35,MD,135.0,408,Yes,Yes,41,173.1,85,29.43,203.9,107.0,17.33,122.2,78,5.5,14.6,15,3.94,0.0,True
36,AR,34.0,510,No,No,0,124.8,82,21.22,282.2,98.0,23.99,311.5,78,14.02,10.0,4,2.7,2.0,False
37,ID,160.0,415,No,No,0,85.8,77,14.59,165.3,110.0,14.05,178.5,92,8.03,9.2,4,2.48,3.0,False
38,WI,64.0,510,No,No,0,154.0,67,,225.8,118.0,19.19,265.3,86,11.94,3.5,3,0.95,1.0,False
39,OR,,408,No,Yes,28,120.9,97,,213.0,92.0,18.11,163.1,116,7.34,8.5,5,2.3,2.0,False
40,DE,142.0,408,No,No,0,187.0,133,31.79,134.6,74.0,11.44,242.2,127,10.9,7.4,5,2.0,2.0,False
41,WY,97.0,415,No,Yes,24,133.2,135,22.64,217.2,58.0,18.46,70.6,79,3.18,11.0,3,2.97,,False
42,IA,,408,No,No,0,191.9,108,32.62,269.8,96.0,22.93,236.8,87,10.66,7.8,5,2.11,3.0,False
43,IN,60.0,408,No,No,0,220.6,57,37.5,211.1,115.0,17.94,249.0,129,11.21,6.8,3,1.84,1.0,False
44,UT,96.0,415,No,No,0,160.2,117,,267.5,67.0,22.74,228.5,68,,9.3,5,2.51,2.0,False
45,WY,87.0,415,No,No,0,151.0,83,25.67,219.7,116.0,18.67,203.9,127,,9.7,3,2.62,5.0,True
46,IN,81.0,408,No,No,0,175.5,67,29.84,249.3,85.0,21.19,270.2,98,12.16,10.2,3,2.75,1.0,False
47,CO,141.0,415,No,No,0,126.9,98,21.57,180.0,62.0,15.3,140.8,128,,8.0,2,2.16,1.0,False
48,CO,121.0,408,No,Yes,30,198.4,129,33.73,75.3,77.0,6.4,181.2,77,,5.8,3,1.57,3.0,True
49,OK,125.0,408,No,No,0,229.3,103,,177.4,126.0,15.08,189.3,95,,12.0,8,3.24,1.0,False
50,ID,174.0,408,No,No,0,192.1,97,32.66,169.9,94.0,14.44,166.6,54,7.5,11.4,4,3.08,1.0,False
51,CA,116.0,415,No,Yes,34,268.6,83,45.66,178.2,142.0,15.15,166.3,106,7.48,11.6,3,3.13,2.0,False
52,SD,149.0,408,No,Yes,28,180.7,92,,187.8,64.0,15.96,265.5,53,11.95,12.6,3,3.4,3.0,False
53,NC,38.0,408,No,No,0,131.2,98,22.3,162.9,,13.85,159.0,106,7.15,8.2,6,2.21,2.0,False
54,WA,40.0,415,No,Yes,41,148.1,74,25.18,169.5,88.0,14.41,214.1,102,9.63,6.2,5,1.67,2.0,False
55,WY,43.0,415,Yes,No,0,251.5,105,42.76,212.8,104.0,18.09,157.8,67,7.1,9.3,4,2.51,0.0,False
56,MN,113.0,408,Yes,No,0,125.2,93,21.28,206.4,119.0,17.54,129.3,139,5.82,8.3,8,2.24,0.0,False
57,UT,126.0,408,No,No,0,211.6,70,35.97,216.9,80.0,18.44,153.5,60,6.91,7.8,1,2.11,1.0,False
58,TX,150.0,510,No,No,0,178.9,101,30.41,169.1,110.0,14.37,148.6,100,6.69,13.8,3,3.73,4.0,True
59,NJ,138.0,408,No,No,0,241.8,93,,170.5,83.0,14.49,295.3,104,13.29,11.8,7,3.19,3.0,False
60,MN,162.0,510,No,Yes,46,224.9,97,38.23,188.2,84.0,16.0,254.6,61,11.46,12.1,2,3.27,,False
61,NM,147.0,510,No,No,0,248.6,83,42.26,148.9,85.0,12.66,172.5,109,7.76,8.0,4,2.16,,False
62,NV,90.0,415,No,No,0,203.4,146,34.58,226.7,117.0,19.27,152.4,105,6.86,7.3,4,1.97,1.0,False
63,MN,50.0,415,No,No,0,157.1,90,26.71,223.3,72.0,18.98,181.4,111,8.16,6.1,2,1.65,1.0,False
64,DC,82.0,415,No,No,0,300.3,109,51.05,181.0,100.0,15.39,270.1,73,12.15,11.7,4,3.16,0.0,True
65,NY,144.0,408,No,No,0,61.6,117,10.47,77.1,85.0,6.55,173.0,99,7.79,8.2,7,2.21,4.0,True
66,MD,70.0,408,No,No,0,170.2,98,28.93,155.2,102.0,13.19,228.6,76,,15.0,2,4.05,1.0,False
67,WV,144.0,415,No,No,0,201.1,99,34.19,303.5,74.0,25.8,224.0,119,10.08,13.2,2,3.56,1.0,False
68,OR,116.0,415,Yes,No,0,215.4,104,36.62,204.8,79.0,17.41,278.5,109,12.53,12.6,5,3.4,3.0,False
69,CO,55.0,408,No,Yes,25,165.6,123,28.15,136.1,95.0,11.57,175.7,90,7.91,11.0,2,2.97,3.0,False
70,GA,70.0,415,No,Yes,24,249.5,101,42.42,259.7,,22.07,222.7,68,10.02,9.8,4,2.65,,False
71,TX,106.0,510,No,No,0,210.6,96,35.8,249.2,85.0,21.18,191.4,88,8.61,12.4,1,3.35,2.0,True
72,IN,94.0,408,No,No,0,157.9,105,26.84,155.0,101.0,13.18,189.6,84,8.53,8.0,5,2.16,4.0,True
73,WV,111.0,510,No,No,0,214.3,118,36.43,208.5,76.0,17.72,182.4,98,8.21,12.0,2,3.24,1.0,False
74,KY,74.0,415,No,Yes,35,154.1,104,26.2,123.4,84.0,10.49,202.1,57,9.09,10.9,9,2.94,2.0,False
75,NJ,128.0,415,No,No,0,237.9,125,40.44,247.6,93.0,21.05,208.9,68,9.4,13.9,4,3.75,,True
76,DC,82.0,510,No,No,0,143.9,61,24.46,194.9,105.0,16.57,109.6,94,,11.1,2,3.0,1.0,False
77,AR,80.0,415,No,No,0,124.3,100,21.13,173.0,107.0,14.71,253.2,62,11.39,7.9,9,2.13,1.0,False
78,ME,78.0,415,No,No,0,252.9,93,42.99,178.4,112.0,15.16,263.9,105,11.88,9.5,7,2.57,3.0,False
79,AZ,90.0,415,No,No,0,179.1,71,30.45,190.6,81.0,16.2,127.7,91,5.75,10.6,7,2.86,3.0,False
80,AK,,408,No,No,0,278.4,106,47.33,81.0,113.0,6.89,163.2,137,7.34,9.8,5,2.65,1.0,False
81,AZ,99.0,415,No,No,0,198.2,87,33.69,207.3,76.0,17.62,190.9,113,8.59,8.7,3,2.35,4.0,False
82,MS,120.0,408,No,No,0,212.1,131,36.06,209.4,104.0,17.8,167.2,96,7.52,5.3,5,1.43,1.0,True
83,IA,98.0,510,No,Yes,21,161.2,114,27.4,252.2,83.0,21.44,160.2,92,7.21,4.4,8,1.19,4.0,False
84,VT,135.0,415,No,No,0,151.7,82,25.79,119.0,105.0,10.12,180.0,100,,10.5,6,2.84,0.0,False
85,IN,122.0,408,No,No,0,170.5,94,28.99,173.7,109.0,14.76,248.6,75,11.19,11.3,2,3.05,1.0,False
