,Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
0,BU79786,Washington,2763.519279,No,Basic,Bachelor,2/24/11,Employed,F,56274.0,Suburban,Married,69.0,32.0,5.0,0.0,1.0,Corporate Auto,Corporate L3,Offer1,Agent,384.811147,Two-Door Car,Medsize
1,QZ44356,Arizona,,No,Extended,Bachelor,,Unemployed,,0.0,Suburban,Single,94.0,13.0,42.0,0.0,8.0,Personal Auto,Personal L3,Offer3,Agent,1131.464935,Four-Door Car,Medsize
2,AI49188,,12887.43165,No,Premium,Bachelor,2/19/11,Employed,F,48767.0,Suburban,Married,108.0,18.0,,0.0,2.0,Personal Auto,,Offer1,Agent,566.472247,Two-Door Car,
3,WW63253,California,,No,Basic,Bachelor,1/20/11,Unemployed,M,0.0,Suburban,Married,106.0,,65.0,0.0,7.0,Corporate Auto,Corporate L2,Offer1,Call Center,529.881344,SUV,Medsize
4,HB64268,Washington,2813.692575,No,Basic,Bachelor,2/3/11,Employed,,43836.0,Rural,Single,73.0,12.0,44.0,,1.0,Personal Auto,Personal L1,Offer1,Agent,138.130879,Four-Door Car,Medsize
5,OC83172,Oregon,8256.2978,Yes,Basic,Bachelor,1/25/11,Employed,F,62902.0,Rural,Married,69.0,14.0,94.0,0.0,,Personal Auto,Personal L3,Offer2,Web,159.383042,Two-Door Car,Medsize
6,XZ87318,Oregon,5380.898636,Yes,Basic,College,2/24/11,Employed,F,55350.0,Suburban,Married,67.0,0.0,13.0,0.0,9.0,Corporate Auto,Corporate L3,Offer1,Agent,321.6,Four-Door Car,Medsize
7,CF85061,Arizona,7216.100311,No,Premium,Master,1/18/11,Unemployed,M,0.0,Urban,Single,101.0,0.0,68.0,0.0,4.0,Corporate Auto,Corporate L3,Offer1,Agent,363.02968,Four-Door Car,Medsize
8,DY87989,Oregon,24127.50402,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,14072.0,Suburban,Divorced,71.0,13.0,3.0,0.0,2.0,Corporate Auto,Corporate L3,Offer1,Agent,511.2,Four-Door Car,Medsize
9,BQ94931,Oregon,7388.178085,No,Extended,College,2/17/11,Employed,F,28812.0,Urban,Married,93.0,17.0,7.0,0.0,8.0,Special Auto,Special L2,Offer2,Branch,425.527834,Four-Door Car,
10,SX51350,California,,No,,College,2/21/11,Unemployed,M,,Suburban,Single,67.0,23.0,5.0,0.0,3.0,Personal Auto,Personal L3,Offer1,Agent,482.4,Four-Door Car,Small
11,VQ65197,California,8197.197078,,Basic,College,1/6/11,Unemployed,F,0.0,Suburban,Married,110.0,27.0,,0.0,3.0,Personal Auto,Personal L3,Offer2,Agent,528.0,SUV,Medsize
12,DP39365,,8798.797003,No,Premium,Master,2/6/11,Employed,M,77026.0,Urban,Married,110.0,9.0,82.0,2.0,3.0,,Corporate L1,Offer2,Agent,472.029737,Four-Door Car,Medsize
13,SJ95423,Arizona,8819.018934,Yes,Basic,High School or Below,1/10/11,Employed,,99845.0,,Married,110.0,23.0,25.0,1.0,8.0,Corporate Auto,Corporate L3,Offer2,Branch,528.0,,Medsize
14,IL66569,California,5384.431665,No,Basic,College,1/18/11,Employed,M,83689.0,Urban,Single,,21.0,10.0,2.0,8.0,,Corporate L3,Offer4,Call Center,307.139132,Four-Door Car,Medsize
15,BW63560,Oregon,7463.139377,No,Basic,Bachelor,1/17/11,Employed,F,24599.0,Rural,Married,64.0,12.0,50.0,1.0,2.0,,Corporate L2,Offer2,Branch,42.920271,Four-Door Car,Medsize
16,FV94802,Nevada,2566.867823,No,Basic,High School or Below,,Medical Leave,M,25049.0,Suburban,Married,67.0,,7.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Call Center,454.245098,Two-Door Car,Medsize
