,shipment_id,send_timestamp,pick_up_point,drop_off_point,source_country,destination_country,freight_cost,gross_weight,shipment_charges,shipment_mode,shipping_company,selected,shipping_time
0,S000720,2019-06-08 07:17:51,A,Y,GB,IN,88.61,355.0,0.75,Air,SC3,Y,5.00741
1,S000725,2019-07-12 15:23:21,A,Y,GB,IN,85.65,105.0,0.9,Ocean,SC1,Y,21.41215
2,S000736,2019-10-04 14:23:29,A,Y,GB,IN,86.22,100.0,0.75,Air,SC3,Y,5.33692
3,S000738,2020-01-07 09:19:50,A,Y,GB,IN,94.43,1071.0,1.05,Air,SC2,Y,5.14792
4,S000739,2020-04-11 06:36:03,A,Y,GB,IN,94.24,2007.0,0.75,Air,SC3,Y,5.03067
5,S001718,2019-05-27 11:53:23,A,Y,GB,IN,87.84,228.7,0.75,Air,SC3,Y,5.18611
6,S001720,2019-06-08 07:46:01,A,Y,GB,IN,89.0,119.0,0.75,Air,SC3,Y,5.2206
7,S001736,2019-10-04 14:26:08,A,Y,GB,IN,86.7,65.0,0.9,Ocean,SC1,Y,11.01481
8,S001737,2019-11-20 12:26:32,A,Y,GB,IN,92.31,114.0,0.75,Air,SC3,Y,5.33322
9,S001738,2020-01-07 09:22:17,A,Y,GB,IN,94.65,1071.0,0.75,Air,SC3,Y,5.26968
10,S001739,2020-04-11 06:49:41,A,Y,GB,IN,94.83,1005.0,1.05,Air,SC2,Y,5.06424
11,S002728,2019-08-02 15:02:32,A,Y,GB,IN,83.56,400.0,0.9,Ocean,SC1,Y,21.26759
12,S002737,2019-11-20 13:03:14,A,Y,GB,IN,92.1871,168.0,0.9,Ocean,SC1,Y,30.439120000000003
13,S003706,2019-03-08 10:42:00,A,Y,GB,IN,91.47,405.0,0.9,Ocean,SC1,Y,9.45833
14,S003718,2019-05-27 11:56:07,A,Y,GB,IN,87.9,232.5,0.9,Ocean,SC1,Y,19.973029999999998
15,S003720,2019-06-08 08:45:03,A,Y,GB,IN,88.84,235.0,1.05,Air,SC2,Y,5.1348400000000005
16,S003736,2019-10-04 14:29:25,A,Y,GB,IN,86.84,100.0,0.75,Air,SC3,Y,5.046530000000001
17,S004718,2019-05-27 11:57:06,A,Y,GB,IN,87.9,177.0,0.9,Ocean,SC1,Y,19.979860000000002
18,S004723,2019-06-30 14:04:46,A,Y,GB,IN,87.92,295.0,0.9,Ocean,SC1,Y,20.86644
19,S004736,2019-10-04 14:31:44,A,Y,GB,IN,86.79,100.0,1.05,Air,SC2,Y,5.05093
20,S004739,2020-04-11 11:23:19,A,Y,GB,IN,94.09,1005.0,0.75,Air,SC3,Y,5.21968
21,S005734,2019-09-06 18:07:54,A,Y,GB,IN,87.65,200.0,0.9,Ocean,SC1,Y,32.55486
22,S005736,2019-10-04 14:32:55,A,Y,GB,IN,86.42,100.0,0.75,Air,SC3,Y,5.0037
23,S005737,2019-11-20 14:11:58,A,Y,GB,IN,93.0,168.0,0.75,Air,SC3,Y,5.23125
24,S005738,2020-01-07 11:29:34,A,Y,GB,IN,94.66,380.0,1.05,Air,SC2,Y,5.2336800000000006
25,S006706,2019-03-08 10:46:18,A,Y,GB,IN,91.76,1096.0,0.75,Air,SC3,Y,5.28426
26,S006736,2019-10-04 14:56:40,A,Y,GB,IN,86.7,355.0,0.9,Ocean,SC1,Y,21.22685
27,S006739,2020-04-11 13:04:21,A,Y,GB,IN,94.75,60.0,1.05,Air,SC2,Y,5.39155
28,S007706,2019-03-08 10:46:32,A,Y,GB,IN,91.14302174,115.0,0.75,Air,SC3,Y,5.07153
29,S007718,2019-05-27 11:58:19,A,Y,GB,IN,87.55,228.7,0.75,Air,SC3,Y,5.07674
30,S007734,2019-09-06 18:39:38,A,Y,GB,IN,87.46,350.0,1.05,Air,SC2,Y,5.34722
31,S007738,2020-01-07 13:18:31,A,Y,GB,IN,94.2,280.0,0.9,Ocean,SC1,Y,20.54525
32,S007739,2020-04-11 13:36:29,A,Y,GB,IN,94.99,46.5,1.05,Air,SC2,Y,5.28958
33,S008717,2019-05-18 11:22:36,A,Y,GB,IN,89.73,1456.0,0.75,Air,SC3,Y,5.02396
34,S008734,2019-09-06 22:24:00,A,Y,GB,IN,87.65,505.0,0.9,Ocean,SC1,Y,34.33333
35,S008736,2019-10-04 15:32:37,A,Y,GB,IN,86.7,75.0,0.9,Ocean,SC1,Y,21.4765
36,S008738,2020-01-07 13:28:10,A,Y,GB,IN,94.2,755.0,0.9,Ocean,SC1,Y,10.61227
37,S009710,2019-04-04 20:47:03,A,Y,GB,IN,89.8,1698.0,0.9,Ocean,SC1,Y,23.66007
38,S009717,2019-05-18 11:34:23,A,Y,GB,IN,89.72,1006.0,0.75,Air,SC3,Y,5.40799
39,S009734,2019-09-07 00:23:07,A,Y,GB,IN,87.31,92.0,0.75,Air,SC3,Y,5.28252
40,S009736,2019-10-04 15:33:47,A,Y,GB,IN,86.9125,110.0,0.9,Ocean,SC1,Y,21.48461
41,S009738,2020-01-07 13:49:58,A,Y,GB,IN,94.45870432,60.0,1.05,Air,SC2,Y,5.28426
42,S009739,2020-04-11 14:05:25,A,Y,GB,IN,94.61,269.5,0.75,Air,SC3,Y,5.00903
43,S010710,2019-04-04 21:05:35,A,Y,GB,IN,89.8,300.0,0.9,Ocean,SC1,Y,13.788770000000001
44,S010722,2019-06-23 12:00:48,A,Y,GB,IN,87.95,500.0,0.75,Air,SC3,Y,5.35312
45,S010734,2019-09-07 00:30:37,A,Y,GB,IN,87.82,29.0,1.05,Air,SC2,Y,5.18044
46,S010735,2019-09-13 09:52:55,A,Y,GB,IN,87.66,120.0,0.9,Ocean,SC1,Y,9.11748
47,S010736,2019-10-04 15:34:09,A,Y,GB,IN,86.96,65.0,0.75,Air,SC3,Y,5.30093
48,S011736,2019-10-04 15:49:01,A,Y,GB,IN,86.95,355.0,0.9,Ocean,SC1,Y,31.590390000000003
49,S011737,2019-11-21 07:02:44,A,Y,GB,IN,92.75,205.0,0.75,Air,SC3,Y,5.10301
50,S011738,2020-01-07 14:55:40,A,Y,GB,IN,94.22,300.0,0.75,Air,SC3,Y,5.37141
51,S012703,2019-02-21 06:28:32,A,Y,GB,IN,92.94,600.0,0.75,Air,SC3,Y,5.00799
52,S012726,2019-07-19 16:09:22,A,Y,GB,IN,85.85,397.0,0.9,Ocean,SC1,Y,11.731710000000001
53,S012736,2019-10-04 16:04:30,A,Y,GB,IN,86.95625398,69.0,0.75,Air,SC3,Y,5.1515
54,S012738,2020-01-07 15:02:43,A,Y,GB,IN,94.49,300.0,0.75,Air,SC3,Y,5.24306
55,S012739,2020-04-12 04:49:52,A,Y,GB,IN,94.65,103.5,0.75,Air,SC3,Y,5.2139999999999995
56,S013703,2019-02-21 08:00:03,A,Y,GB,IN,92.88,1006.0,1.05,Air,SC2,Y,5.3015
57,S013736,2019-10-04 16:49:08,A,Y,GB,IN,86.95,121.0,0.9,Ocean,SC1,Y,12.00787
58,S013739,2020-04-12 10:27:45,A,Y,GB,IN,94.59,153.5,1.05,Air,SC2,Y,5.41852
59,S014719,2019-06-02 11:26:45,A,Y,GB,IN,87.25,205.0,0.9,Ocean,SC1,Y,19.7691
60,S014730,2019-08-13 13:31:23,A,Y,GB,IN,85.75,10.0,0.75,Air,SC3,Y,5.18507
61,S014736,2019-10-04 16:56:06,A,Y,GB,IN,86.95,1206.0,0.9,Ocean,SC1,Y,32.05625
62,S014737,2019-11-21 10:09:12,A,Y,GB,IN,92.84,217.4,0.75,Air,SC3,Y,5.176159999999999
63,S014739,2020-04-12 11:34:10,A,Y,GB,IN,94.1,53.5,0.75,Air,SC3,Y,5.30903
64,S015702,2019-02-14 05:55:30,A,Y,GB,IN,90.9403,128.0,0.9,Ocean,SC1,Y,17.46875
65,S015704,2019-02-26 20:38:37,A,Y,GB,IN,93.5,305.0,0.9,Ocean,SC1,Y,13.6015
66,S015710,2019-04-05 08:43:34,A,Y,GB,IN,89.791,100.0,1.05,Air,SC2,Y,5.13125
67,S015725,2019-07-12 16:14:25,A,Y,GB,IN,85.81,105.0,0.75,Air,SC3,Y,5.03472
68,S015738,2020-01-07 17:38:07,A,Y,GB,IN,94.63,112.0,0.75,Air,SC3,Y,5.17488
69,S015739,2020-04-12 11:36:32,A,Y,GB,IN,94.79,53.5,0.75,Air,SC3,Y,5.23484
70,S016702,2019-02-14 06:06:22,A,Y,GB,IN,90.9403,1006.0,0.9,Ocean,SC1,Y,7.5442100000000005
71,S016703,2019-02-21 09:08:07,A,Y,GB,IN,92.5,225.0,0.9,Ocean,SC1,Y,28.80637
72,S016704,2019-02-27 00:03:35,A,Y,GB,IN,93.87,275.0,0.9,Ocean,SC1,Y,25.02488
73,S016717,2019-05-18 11:54:53,A,Y,GB,IN,89.2,1466.0,1.05,Air,SC2,Y,5.04861
74,S016736,2019-10-04 20:34:24,A,Y,GB,IN,86.95,869.0,0.9,Ocean,SC1,Y,33.57222
75,S016739,2020-04-12 12:32:44,A,Y,GB,IN,94.5,315.0,1.05,Air,SC2,Y,5.07558
76,S017702,2019-02-14 06:06:38,A,Y,GB,IN,90.9403,1206.0,0.9,Ocean,SC1,Y,7.546060000000001
77,S017703,2019-02-21 09:22:24,A,Y,GB,IN,92.5,555.0,0.9,Ocean,SC1,Y,28.905559999999998
78,S017736,2019-10-04 20:35:53,A,Y,GB,IN,86.56,500.0,1.05,Air,SC2,Y,5.27245
79,S017739,2020-04-12 13:30:52,A,Y,GB,IN,93.52,100.0,0.75,Air,SC3,Y,5.128819999999999
80,S018702,2019-02-14 06:11:08,A,Y,GB,IN,90.9403,335.0,0.9,Ocean,SC1,Y,27.577309999999997
81,S018703,2019-02-21 09:27:52,A,Y,GB,IN,92.5,555.0,1.05,Air,SC2,Y,5.32083
82,S018739,2020-04-13 08:12:00,A,Y,GB,IN,94.25,355.0,0.75,Air,SC3,Y,5.317480000000001
83,S019721,2019-06-15 10:36:02,A,Y,GB,IN,87.4,505.0,0.9,Ocean,SC1,Y,19.4169
84,S019736,2019-10-05 00:12:21,A,Y,GB,IN,86.95,780.0,0.9,Ocean,SC1,Y,5.08576
85,S019738,2020-01-07 19:41:36,A,Y,GB,IN,93.85,1065.54,0.9,Ocean,SC1,Y,33.20556
86,S019739,2020-04-13 08:46:24,A,Y,GB,IN,94.2,103.5,1.05,Air,SC2,Y,5.29815
87,S020704,2019-02-27 06:33:39,A,Y,GB,IN,93.5661,255.0,0.9,Ocean,SC1,Y,7.7336800000000006
88,S020708,2019-03-23 09:55:40,A,Y,GB,IN,90.96,1006.0,0.9,Ocean,SC1,Y,9.136569999999999
89,S020713,2019-04-26 11:02:37,A,Y,GB,IN,89.95,250.0,0.9,Ocean,SC1,Y,19.6015
90,S020723,2019-06-30 15:17:35,A,Y,GB,IN,87.67843842,235.0,0.9,Ocean,SC1,Y,21.37211
91,S020729,2019-08-07 11:09:44,A,Y,GB,IN,85.65,122.0,1.05,Air,SC2,Y,5.29838
92,S020736,2019-10-05 00:15:11,A,Y,GB,IN,86.95,780.0,0.9,Ocean,SC1,Y,5.10544
